"","BioRepID","FilterID","SAMPLE.ID","BIO.REP","DATE..YYYYMMDD.","TIME.START","STATION.START","Latitude.start","Longitude.start","TIME.END","STATION.END","Latitude.end","Longitude.end","Inshore.Offshore","Vol..FILT..REP..1..L.","Vol..FILT..REP..2..L.","SAMPLE.TYPE","NOTES","X","Lat.start..degrees..decimal.minutes.","Lon.start","Lat.end","Lon.end","Storage.box","Experiment","Cruise","Year","Month","SequencingRun","Volume.filtered..mL.","Depth..m.","depth.rank","Collection.method","dist_km","datetime_start","datetime_end","filtration_time_min"
"X91925_1_1","X91925_1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1","","","","",""
"X91925_1_2","X91925_1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1","","","","",""
"X91925_1_3","X91925_1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1","","","","",""
"X91925_1_4","X91925_1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1","","","","",""
"F006_2_1","F006_2","F006","RL2501_LINE93.3-50.0_F006_2","2.0","20250104.0","17:35","93.3-50","32.1774","-118.891","18:04","93.3-50","32.1725","-118.8944","Inshore","9.0","","Station","Humpbacks singing","","","","","","","Winter CalCOFI 2025","RL2501","2025.0","1.0","GGBC_JAN2026","9.0","5","1","MOSAIC-E","0.630925231146853","2025-01-04 17:35:00","2025-01-04 18:04:00","29.0"
"F006_2_2","F006_2","F006","RL2501_LINE93.3-50.0_F006_2","2.0","20250104.0","17:35","93.3-50","32.1774","-118.891","18:04","93.3-50","32.1725","-118.8944","Inshore","9.0","","Station","Humpbacks singing","","","","","","","Winter CalCOFI 2025","RL2501","2025.0","1.0","GGBC_JAN2026","9.0","5","1","MOSAIC-E","0.630925231146853","2025-01-04 17:35:00","2025-01-04 18:04:00","29.0"
"F006_2_3","F006_2","F006","RL2501_LINE93.3-50.0_F006_2","2.0","20250104.0","17:35","93.3-50","32.1774","-118.891","18:04","93.3-50","32.1725","-118.8944","Inshore","9.0","","Station","Humpbacks singing","","","","","","","Winter CalCOFI 2025","RL2501","2025.0","1.0","GGBC_JAN2026","9.0","5","1","MOSAIC-E","0.630925231146853","2025-01-04 17:35:00","2025-01-04 18:04:00","29.0"
"F006_2_4","F006_2","F006","RL2501_LINE93.3-50.0_F006_2","2.0","20250104.0","17:35","93.3-50","32.1774","-118.891","18:04","93.3-50","32.1725","-118.8944","Inshore","9.0","","Station","Humpbacks singing","","","","","","","Winter CalCOFI 2025","RL2501","2025.0","1.0","GGBC_JAN2026","9.0","5","1","MOSAIC-E","0.630925231146853","2025-01-04 17:35:00","2025-01-04 18:04:00","29.0"
"F010_1_1","F010_1","F010","RL2501_LINE93.3-80_F010_1","1.0","20250105.0","13:07","93.3-80","31.1821","-120.921","13:34","93.3-80","31.1824","-120.9266","Offshore","11.0","na","Station","","","","","","","","Winter CalCOFI 2025","RL2501","2025.0","1.0","GGBC_JAN2026","11.0","5","1","MOSAIC-E","0.534839296971353","2025-01-05 13:07:00","2025-01-05 13:34:00","27.0"
"F010_1_2","F010_1","F010","RL2501_LINE93.3-80_F010_1","1.0","20250105.0","13:07","93.3-80","31.1821","-120.921","13:34","93.3-80","31.1824","-120.9266","Offshore","11.0","na","Station","","","","","","","","Winter CalCOFI 2025","RL2501","2025.0","1.0","GGBC_JAN2026","11.0","5","1","MOSAIC-E","0.534839296971353","2025-01-05 13:07:00","2025-01-05 13:34:00","27.0"
