"FilterBioRep","Replicate","observed","pred_mean","pred_q025","pred_q975","AcceptedDroplets"
"F022_1",1,1,13.4756666666667,7,21,16801
"F022_1",2,1,13.3383333333333,7,21,16595
"F022_1",3,2,13.04,6.97500000000001,21,16196
"F031_1",1,209,181.614,150,215,17000
"F031_1",3,125,155.237333333333,127,186,14535
"F047_2",1,88,74.234,57,94,17036
"F047_2",2,65,74.881,56,95,17212
"F047_2",3,62,73.5483333333333,55,93.0250000000001,16897
"F065_2",1,0,12.982,6,21,16316
"F065_2",2,0,12.7883333333333,6,20,16090
"F065_2",3,1,12.7003333333333,6,21,16113
"F074_1",1,66,70.878,53,90,16076
"F074_1",2,71,67.5086666666667,49,87,15279
"F074_1",3,63,64.0726666666667,47,82.0250000000001,14519
"F095_1",1,43,42.9083333333333,29,59,16998
"F095_1",2,44,45.19,30.975,62,17843
"F095_1",3,35,37.341,25,52,14724
